SAGLIK KURUMU;ADRES;TELEFON;ENLEM;BOYLAM;
Tuzla Devlet Hastanesi;İçmeler, Piri Reis Cd. No:74, 34947 Tuzla/İstanbul;0216 494 09 55;40.844458;29.2985865;
Okan Üniversitesi Hastanesi;İçmeler mah, Aydınlı Yolu Cd. No:2, 34947 Tuzla/İstanbul;444 98 63;40.8496021;29.2991192;
GSM Gisbir Sağlık Merkezi Hastanesi;Aydıntepe, Güzin Sokağı No:6, 34959 Tuzla/İstanbul;0216 581 42 00;40.8478059;29.2913301;
Özel Mercan Hastanesi ;Yayla, Ali İhsan Paşa Cd. No: 52, 34944 Tuzla/İstanbul;444 07 04;40.8284428;29.3037037;
Yayla Aile Sağlığı Merkezi;Yayla, Şinasi Dural Cd. No:28, 34944 Tuzla/İstanbul;0216 701 28 33;40.8316423;29.3063845;
Hilmi Sonay Aile Sağlığı Merkezi;Yayla, Şinasi Dural Cd. Pk:34944, 34944 Tuzla/İstanbul;0216 446 01 44;40.8401340354163;29.307042033815;
Tuzla Merkez Aile Sağlığı Merkezi;Postane Mh. İstasyon Cd. Pk:34950 Tuzla/istanbul, 34770 Tuzla/İstanbul;0216 395 23 30;40.8223027646837;29.3083086015048;
İstasyon Sağlığı Merkezi;İstasyon, Hatboyu Cd. No:190, 34940 Tuzla/İstanbul;0216 395 35 60;40.8303103814841;29.3214628690726;
Hilmi Şahin Sağlığı Merkezi;Evliya Çelebi, Sahil Blv No:2, 34944 Tuzla/İstanbul;0216 446 96 92;40.8464499180674;29.2983916143559;
Şifa Aile Sağlığı Merkezi;Şifa Mah., Şifa Gençlik Merkezi Üst Katı No:1, 34950 Tuzla/İstanbul;0216 423 31 72;40.8247025210218;29.3543279635794;
Şifa Semt Aile Sağlığı Merkezi;Mimar Sinan Mahallesi Emiroğlu Caddesi No:76;0216 423 59 09;40.8283905879352;29.3574935453691;
Mimar Sinan Aile Sağlığı Merkezi; Mimar Sinan Mahallesi Emiroğlu Caddesi, Emin Sk. No:11, 34950 Tuzla;0553 723 75 95;40.8415201281576;29.3606441234704;
1 Nolu Aile Sağlığı Merkezi; İçmeler, Seyit Onbaşı Cd. No:30, 34947 Tuzla/İstanbul;0216 507 17 91 ;40.48582411;29.2743561;
Aydınlı Aile Sağlığı Merkezi;Aydınlı Mahallesi Atatürk Caddesi Çarşı Sokak No:58;0216 393 29 51;40.8715561680376;29.3303536695518;
3 Nolu Aile Sağlığı Merkezi; Aydınlı, No 105, Süheyla Sk., 34953 Tuzla/İstanbul;0216 393 61 70;40.8857289289086;29.3361931071867;
Orhanlı Aile Sağlığı Merkezi;Orhanlı, Demokrasi Cd. No:41, 34956 Tuzla/İstanbul;0216 394 38 60;40.8954360180225;29.3549992331269;
Tepeören Aile Sağlığı Merkezi;Tepeören, Tevfik Sokağı No:1, 34959 Tuzla/İstanbul;0216 304 05 41;40.9093960575838;29.3925932724389;
Akfırat Aile Sağlığı Merkezi; Akfırat, 25, 2. Cd., 34959 Tuzla/İstanbul;0216 439 10 10;40.9264153;29.3336661;
Aydıntepe Aile Sağlığı Merkezi;Aydıntepe, Marmara Cd. No:29, 34947 Tuzla/İstanbul;0216 392 32 34;40.8566529440466;29.3001348257608;
4 Nolu Aile Sağlığı Merkezi;Aydınlı, 34953 Tuzla/İstanbul;0216 393 23 30;40.8657340998948;29.3416608307796;
5 Nolu  Aile Sağlığı Merkezi; Postane Mh. İstasyon Cd. Pk:34950 Tuzla/istanbul, 34770 Tuzla/İstanbul;0216 304 12 21;40.8212064;29.3082625;
8 Nolu  Aile Sağlığı Merkezi; İstasyon, Alem Sk. No:10, 34940 Tuzla/İstanbul;0216 673 49 51;40.8247814;29.3150348;
7 Nolu  Aile Sağlığı Merkezi;Yayla, Ayışığı Sk. No:8, 34944 Tuzla/İstanbul;0551 021 29 09;40.8297638;29.3065646;
11 Nolu Aile Sağlığı Merkezi;İstasyon, Alem Sk. No:10, 34940 Tuzla/İstanbul;0551 021 44 33;40.8282117;29.3055491;
6 Nolu  Aile Sağlığı Merkezi;Şifa, Başar Sk., 34950 Tuzla/İstanbul;0530 485 04 39;40.8310505;29.3543052;
13 Nolu Aile Sağlığı Merkezi;Cami, 34940 Tuzla/İstanbul;0;40.855849;29.48867;
Eğitim Aile Sağlığı Merkezi;Aydıntepe, Batu Sk. No:22, 34947 Tuzla/İstanbul;0216 392 02 70;40.8559021;29.2878865;
İçmeler Şehit Yüksel Taşpınar Aile Sağlığı Merkezi;İçmeler, Seyit Onbaşı Cd. No:28, 34947 Tuzla/İstanbul;0216 507 17 91;40.8476183;29.3049097;
Aydınlı TOKİ Şehit Hüsmaettin Ürün Aile Sağlığı Merkezi;Aydınlı, Aydınlı Mahallesi Patlayıcı Maddeler Yolu Cd, Gökberk Sk. No:1-2, 34953 Tuzla/İstanbul;0216 393 23 30;40.8649471;29.3387354;